  3881| 12.453457| 41.078955| 4.53|  679.2|A|And
  3885| 12.471287| 27.710311| 5.55|  346.8|G|Psc
  3909| 12.532185|-10.643770| 5.17|   50.4|B|Cet
  3949| 12.671367|-50.986924| 5.24|  248.9|F|Phe
  3951| 12.681552| 64.247581| 5.35|  815.0|K|Cas
  4147| 13.252044| -1.144221| 4.78|  517.5|K|Cet
  4267| 13.646750| 19.188436| 5.80|  366.3|K|Psc
  4288| 13.741750| 23.628446| 5.46|  126.8|B|And
  4292| 13.750804| 58.972797| 4.83|  407.5|B|Cas
  4293| 13.751247|-69.526979| 5.45|  210.3|F|Tuc
  4371| 14.006275|-11.266507| 5.35|  525.8|A|Cet
  4422| 14.166710| 59.181166| 4.62|  206.3|A|Cas
  4427| 14.177088| 60.716750| 2.15|  615.1|G|Cas
  4436| 14.187907| 38.499255| 3.86|  136.4|G|And
  4463| 14.301782| 23.417760| 4.40|  243.3|M|And
  4510| 14.458952| 28.992236| 5.44|  708.7|G|Psc
  4577| 14.651441|-29.357464| 4.30|  679.2|K|Scl
  4587| 14.682865|-11.379939| 5.62|  313.5|G|Cet
  4770| 15.325939|-38.916649| 5.59|  626.9|K|Scl
  4852| 15.609907|-31.552042| 5.50|  226.4|B|Scl
  4889| 15.704527| 31.804337| 5.50|  412.7|K|Psc
  4903| 15.726149| 41.345199| 5.95|  343.2|G|And
  4906| 15.736066|  7.890073| 4.27|  190.6|K|Psc
  4914| 15.760853| -4.836350| 5.40|  407.5|K|Cet
  5081| 16.272298| 14.946004| 5.64|  178.1|F|Psc
  5131| 16.420532| 21.473216| 5.33|  238.0|K|Psc
  5132| 16.423658| 21.465473| 5.55|  221.8|K|Psc
  5165| 16.521277|-46.718490| 3.32|  197.6|F|Phe
  5164| 16.521375| -9.839368| 5.58|  592.7|F|Cet
  5268| 16.827386|-61.775262| 5.36|  278.6|M|Tuc
  5296| 16.942168| -9.785592| 5.71|  155.2|F|Cet
  5300| 16.949272|-41.486935| 5.21|  197.6|M|Phe
  5310| 16.987958| 20.739321| 5.56|  161.4|A|Psc
  5317| 17.002994| 43.942241| 5.04|  196.4|K|And
  5336| 17.053838| 54.924228| 5.17|   24.6|G|Cas
  5346| 17.093100|  5.650221| 5.51|  117.3|K|Psc
  5348| 17.096084|-55.245832| 3.94|  278.6|K|Phe
  5364| 17.146932|-10.181928| 3.46|  117.7|G|Cet
  5372| 17.183997| 86.257118| 4.24|  313.5|B|Cep
  5434| 17.375509| 47.241824| 4.26|  740.9|A|And
  5447| 17.432490| 35.620830| 2.07|  198.8|B|And
  5454| 17.455020| 19.658385| 5.57|  402.5|G|Psc
  5493| 17.578530| 42.081577| 5.67|  171.6|K|And
  5510| 17.639822|  2.445708| 5.97|  905.6|A|Cet
  5518| 17.663606| 68.778688| 5.32|  316.5|B|Cas
  5542| 17.774711| 55.149948| 4.34|  137.6|G|Cas
  5544| 17.778222| 31.424766| 5.15|  562.1|B|Psc
  5550| 17.792871| 37.724138| 5.80|  905.6|K|And
  5571| 17.863309| 21.034676| 4.66|  440.5|A|Psc
  5586| 17.914945| 30.089730| 4.51|  162.2|B|Psc
  5589| 17.922370| 65.018885| 5.57|  362.2|G|Cas
  5594| 17.931427| -2.251025| 5.93|  440.5|A|Cet
  5737| 18.432510|  7.575489| 5.21|  147.5|F|Psc
  5742| 18.437230| 24.583765| 4.67|  379.1|K|Psc
  5778| 18.531867| 16.133542| 5.97|  501.5|F|Psc
  5799| 18.599862| -7.923500| 5.14|   79.5|A|Cet
  5833| 18.704919| -0.974294| 5.70|  143.0|G|Cet
  5862| 18.794032|-45.532097| 4.97|   49.1|A|Phe
  5896| 18.939564|-68.876237| 4.25|   66.7|G|Tuc
  5951| 19.151445| -2.500213| 5.42|  256.7|F|Cet
  6061| 19.449934|  3.614520| 5.13|  220.3|A|Psc
  6193| 19.866575| 27.264087| 4.74|  310.5|G|Psc
  6226| 19.951217| -0.508995| 5.87|  392.8|F|Cet
  6242| 20.020490| 58.231616| 4.95| 2328.6|B|Cas
  6315| 20.280641| 28.738390| 5.23|  343.2|K|Psc
  6411| 20.584971| 45.528757| 4.87|  195.2|K|And
  6514| 20.918983| 37.714990| 5.60|  211.7|M|And
  6537| 21.006047| -8.182754| 3.60|  114.4|F|Cet
  6670| 21.405039|-14.598754| 4.90|  288.5|K|Cet
  6686| 21.452513| 60.235403| 2.66|   99.4|A|Cas
  6692| 21.482934| 68.129947| 4.72|  192.9|A|Cas
  6706| 21.563661| 19.172321| 5.35|   84.9|F|Psc
  6732| 21.673529| 19.240565| 5.50|  307.5|B|Psc
  6748| 21.714818|-13.056534| 5.51|  118.1|B|Cet
  6813| 21.912855| 45.406953| 4.83|   92.4|K|And
  6867| 22.091424|-43.317729| 3.41|  234.5|B|Phe
  6960| 22.400418|-21.629347| 5.11|  221.8|A|Cet
  6999| 22.525425| 47.007377| 5.27|  288.5|A|And
  7007| 22.545596|  6.143933| 4.84|  358.2|K|Psc
  7078| 22.806327| 70.264789| 5.82|   95.3|B|Cas
  7083| 22.812423|-49.073077| 3.93|  147.5|F|Phe
  7097| 22.870808| 15.345831| 3.62|  293.7|F|Psc
  7294| 23.483025| 59.232097| 4.68|  203.8|F|Cas
  7345| 23.657172|-15.676353| 5.62|  200.0|F|Cet
  7450| 23.995655|-15.400216| 5.41|  552.5|A|Cet
  7463| 24.035121|-29.907434| 5.69|  202.5|A|Scl
  7513| 24.199904| 41.406385| 4.10|   43.9|F|And
  7535| 24.274839| 12.141511| 5.54|  110.1|K|Psc
  7588| 24.428132|-57.236660| 0.45|  143.6|K|Eri
  7607| 24.497927| 48.628486| 3.59|  173.4|K|And
  7650| 24.628921| 73.040072| 5.28|  446.6|M|Cas
  7719| 24.837579| 44.386128| 5.01|  241.5|F|And
  7740| 24.919866| 16.405886| 5.98|  452.8|K|Psc
  7818| 25.145017| 40.577106| 4.96|  679.2|M|And
  7884| 25.357948|  5.487604| 4.45|  366.3|A|Psc
  7955| 25.536023|-32.326858| 5.25|  217.3|F|Scl
  7965| 25.585185| 68.043046| 5.57|  446.6|F|Cas
  7981| 25.624791| 20.270151| 5.24|   24.3|K|Psc
  8016| 25.732204| 70.622559| 5.18|  281.0|F|Cas
  8046| 25.832240| 60.551371| 5.78|  905.6|F|Cas
  8068| 25.915064| 50.688766| 4.01|  724.4|K|Per
  8102| 26.021364|-15.939556| 3.49|   11.9|A|Cet
  8198| 26.348286|  9.157641| 4.26|  258.7|K|Psc
  8209| 26.411060|-25.052434| 5.29|   89.3|K|Scl
  8387| 27.045428| 16.955631| 5.86|  286.0|K|Ari
  8497| 27.396630|-10.686181| 4.66|   76.9|G|Cet
  8544| 27.535751| 22.275357| 5.83|  571.9|K|Ari
  8645| 27.865044|-10.334945| 3.74|  258.7|K|Cet
  8704| 27.997114| 55.147405| 5.53| 1018.8|G|Per
  8714| 28.038975| 50.792864| 5.70|  493.9|K|Per
  8796| 28.270416| 29.579397| 3.42|   64.0|A|Tri
  8814| 28.322300| 40.729800| 5.42|  543.3|M|And
  8832| 28.382355| 19.294093| 3.88|  203.8|F|Ari
  8833| 28.388902|  3.187478| 4.61|  190.6|K|Psc
  8837| 28.411749|-46.302446| 4.39|  319.6|F|Phe
  8882| 28.591918|-42.496881| 5.12|  307.5|F|Phe
  8886| 28.598681| 63.670147| 3.35|  440.5|F|Cas
  8903| 28.659788| 20.808299| 2.64|   59.6|K|Ari
  8928| 28.733395|-67.647481| 4.68|  217.3|B|Hyi
  8993| 28.962634| 23.577343| 5.76|  517.5|K|Ari
  9001| 28.976974| 37.277801| 5.89|  987.9|G|And
  9007| 28.986802|-51.609587| 3.69|   57.0|K|Eri
  9009| 29.000016| 68.685265| 4.97|  693.6|G|Cas
  9021| 29.038458| 37.251804| 5.69|  319.6|F|And
  9061| 29.167328|-22.526712| 4.92|  397.6|G|Cet
  9110| 29.337639| 17.817589| 5.09|  652.0|K|Ari
  9153| 29.482398| 23.596096| 4.79|  133.1|K|Ari
  9222| 29.639582| 49.204252| 5.70|  245.1|A|Per
  9236| 29.691133|-61.569924| 2.86|   71.3|K|Hyi
  9326| 29.942451|-20.824575| 5.43|  665.3|K|Cet
  9347| 30.000937|-21.077772| 3.99|  301.9|F|Cet
  9353| 30.037603|  3.097635| 5.89|  101.2|G|Psc
  9440| 30.311651|-30.001566| 5.34|  278.6|K|For
  9459| 30.426677|-44.713390| 5.15|  370.5|A|Phe
  9480| 30.489791| 70.907046| 4.49|  116.8|B|Cas
  9487| 30.511669|  2.763760| 3.82|  139.3|K|Psc
  9505| 30.575309| 54.487549| 4.99|  740.9|A|Per
  9570| 30.741529| 33.284152| 5.50|  370.5|K|Tri
  9573| 30.750786| 64.390023| 5.59| 3622.2|K|Cas
  9589| 30.798357|  0.128454| 5.42|  288.5|B|Cet
  9598| 30.859126| 72.421240| 3.95|  162.2|B|Cas
  9621| 30.913593| 25.935449| 5.64|  172.5|B|Ari
  9631| 30.950513| -0.340146| 5.96|  329.3|G|Cet
  9640| 30.974663| 42.329848| 2.10|  354.3|K|And
  9677| 31.122625|-29.296840| 4.68|  362.2|F|For
  9727| 31.279389| 77.281457| 5.27|  109.4|K|Cas
  9763| 31.381574| 76.115110| 5.22|  423.4|M|Cas
  9836| 31.641302| 22.648404| 5.03|  187.4|K|Ari
  9884| 31.792858| 23.462777| 2.01|   65.9|G|Ari
  9977| 32.121441| 37.859183| 4.78|  197.6|K|And
 10053| 32.355359| 25.939973| 4.98|  319.6|K|Ari
 10064| 32.385504| 34.987392| 3.00|  124.4|F|Tri
 10155| 32.656425| 19.500404| 5.68|  665.3|A|Ari
 10212| 32.838177|  8.570083| 5.64|  138.7|B|Cet
 10234| 32.899340| -1.825349| 5.94|  354.3|K|Cet
 10280| 33.093016| 30.303215| 4.94|  304.7|A|Tri
 10305| 33.197180| -2.393460| 5.65|  150.2|M|Cet
 10306| 33.199933| 21.210983| 5.23|   98.2|A|Ari
 10320| 33.226917|-30.723843| 5.27|  332.7|B|For
 10324| 33.250046|  8.846752| 4.36|  362.2|A|Cet
 10328| 33.263522| 15.279910| 5.72|  543.3|G|Ari
 10340| 33.305587| 44.231689| 4.84|  552.5|K|And
 10366| 33.400082| 51.066233| 5.31|  198.8|K|Per
 10418| 33.560428|-67.841552| 5.57|  740.9|G|Hyi
 10513| 33.868993|-67.746335| 5.67|  465.7|G|Hyi
 10535| 33.928477| 25.043255| 5.57|  156.7|K|Ari
 10540| 33.941399| 25.783099| 5.79|  130.9|G|Ari
 10559| 33.984563| 33.358976| 5.25|  293.7|K|Tri
 10602| 34.127085|-51.512111| 3.56|  154.5|M|Eri
 10642| 34.245790| -6.421856| 5.51|  339.6|F|Cet
 10644| 34.260073| 34.224830| 4.84|   35.4|K|Tri
 10670| 34.328482| 33.847321| 4.03|  117.7|F|Tri
 10718| 34.499254| 57.899808| 5.75|  379.1|K|Per
 10729| 34.519165| 57.516326| 5.99|  708.7|A|Per
 10732| 34.531443| 19.901161| 5.58|  388.1|K|Ari
 10793| 34.737453| 28.642674| 5.29|  350.5|M|Tri
 10819| 34.820199| 47.379988| 5.31|  254.7|G|And
 10944| 35.242387| 50.151542| 5.57|  354.3|G|And
 11001| 35.437596|-68.659424| 4.08|  135.3|K|Hyi
 11021| 35.485979|  0.395692| 5.29| 1304.0|A|Cet
 11046| 35.551695| -0.884740| 5.42|  278.6|A|Cet
